interview_date,years_farm,parents_liv,no_membrs,roof_type,wall_type,floor_type
17/11/2016,11,no,3,grass,muddaub,earth
17/11/2016,2,yes,7,grass,muddaub,earth
16/11/2016,16,yes,8,grass,burntbricks,earth
16/12/2016,22,no,12,mabatisloping,burntbricks,cement
21/11/2016,6,yes,6,grass,sunbricks,earth
21/11/2016,53,yes,19,mabatipitched,muddaub,earth
21/11/2016,20,yes,8,grass,muddaub,cement
17/11/2016,18,no,8,mabatisloping,burntbricks,cement
17/11/2016,21,yes,10,mabatisloping,burntbricks,cement
17/11/2016,2,yes,2,grass,muddaub,earth
16/11/2016,48,yes,7,grass,muddaub,earth
16/11/2016,12,yes,6,mabatisloping,burntbricks,earth
16/11/2016,6,no,6,grass,muddaub,earth
16/11/2016,12,no,4,grass,muddaub,earth
